id,titre,categorie,output_kind,source
diagnostic-concurrentiel,Diagnostic concurrentiel & benchmark sectoriel,STRATÉGIE & MANAGEMENT,assessment,heuristique
diagnostic-conformite-laboratoire-iso-17025,Diagnostic conformité laboratoire (ISO 17025),Inspection Technique & Vérification,assessment,heuristique
diagnostic-conformite-medicaments-iso-13485,Diagnostic conformité médicaments (ISO 13485),Certification de Produits & Services,assessment,heuristique
diagnostic-conformite-reglementaire-sectorielle,Diagnostic conformité réglementaire sectorielle,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-conformite-rgpd-protection-donnees,Diagnostic de conformité RGPD & protection des données,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-continuite-activite-iso-22301,Diagnostic continuité d'activité (ISO 22301),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-controle-de-gestion,Diagnostic du contrôle de gestion,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-culture-managériale,Diagnostic de la culture managériale,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-cybersécurité-iso-27001,Diagnostic cybersécurité (ISO 27001),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-capacite-institutionnelle,Diagnostic de capacité institutionnelle,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-culture-d-entreprise,Diagnostic de culture d'entreprise,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-data-governance,Diagnostic de data governance & qualité de données,TRANSFORMATION DIGITALE & IA,assessment,heuristique
diagnostic-de-gouvernance-corporate,Diagnostic de gouvernance corporate & conseil d'administration,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-l-experience-client,Diagnostic de l'expérience client omnicanal,MARKETING & COMMERCIAL,assessment,heuristique
diagnostic-de-l-impact-societal,Diagnostic de l'impact sociétal & des externalités,RSE & DÉVELOPPEMENT DURABLE,assessment,heuristique
diagnostic-de-l-innovation,Diagnostic de l'innovation & de la créativité,INNOVATION & R&D,assessment,heuristique
diagnostic-de-la-chaine-de-valeur-porter,Diagnostic de la chaîne de valeur (Porter),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-la-chaine-de-valeur,Diagnostic de la chaîne de valeur (Porter),STRATÉGIE & MANAGEMENT,assessment,heuristique
diagnostic-de-la-marque-employeur,Diagnostic de la marque employeur,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-la-performance-commerciale,Diagnostic de la performance commerciale,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-maturite-digitale-dmi,Diagnostic de maturité digitale (DMI),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-maturite-digitale,Diagnostic de maturité digitale (DMI),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-maturite-ia,Diagnostic de maturité IA & intelligence artificielle,TRANSFORMATION DIGITALE & IA,assessment,heuristique
diagnostic-de-maturite-pm-et-gouvernance-projets,Diagnostic de maturité PM & gouvernance projets,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-performance-commerciale,Diagnostic de performance commerciale,MARKETING & COMMERCIAL,assessment,heuristique
diagnostic-de-performance-durable,Diagnostic de la performance durable (ESG score),RSE & DÉVELOPPEMENT DURABLE,assessment,heuristique
diagnostic-de-performance-globale-bsc,Diagnostic de performance globale (BSC),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-performance-globale,Diagnostic de performance globale (BSC),STRATÉGIE & MANAGEMENT,assessment,heuristique
diagnostic-de-resilience-organisationnelle,Diagnostic de résilience organisationnelle,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-satisfaction-client,"Diagnostic de satisfaction client (NPS, CSAT, CES)",DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-de-transformation-agile,Diagnostic de la transformation agile,GESTION DE PROJETS & PMO,assessment,heuristique
diagnostic-de-tresorerie-et-liquidite,Diagnostic de trésorerie & liquidité,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-dei,"Diagnostic de la diversité, équité & inclusion (DEI)",DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-des-parties-prenantes,Diagnostic des parties prenantes (stakeholder mapping),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-des-processus-metiers-bpm,Diagnostic des processus métiers (BPM),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-des-processus-metiers,Diagnostic des processus métiers (BPM),QUALITÉ & EXCELLENCE OPÉRATIONNELLE,assessment,heuristique
diagnostic-des-risques-financiers,Diagnostic des risques financiers,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-des-risques-psychosociaux,Diagnostic des risques psychosociaux (RPS),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-des-systemes-d-information,Diagnostic des systèmes d'information (SI/DSI),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-du-business-model,Diagnostic du business model (BMC),STRATÉGIE & MANAGEMENT,assessment,heuristique
diagnostic-du-portefeuille-produits,Diagnostic du Portefeuille Produits/Services (Matrice BCG),STRATÉGIE & MANAGEMENT,assessment,heuristique
diagnostic-energetique-iso-50001,Diagnostic énergétique (ISO 50001),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-engagement-collaborateurs,Diagnostic de l'engagement collaborateurs,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-environnemental-iso-14001,Diagnostic environnemental (ISO 14001),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-esg-complet,"Diagnostic ESG complet (Environnement, Social, Gouvernance)",DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-experience-collaborateur,Diagnostic de l'expérience collaborateur (EX),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-financier-complet,Diagnostic financier complet (santé financière),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-fiscal-et-optimisation,Diagnostic fiscal & optimisation,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-formation-competences,Diagnostic de la formation & développement des compétences,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-gouvernance-ohada,Diagnostic gouvernance OHADA,"Gouvernance, Éthique & Anti-Corruption",assessment,heuristique
diagnostic-gpec-gepp,Diagnostic de la GPEC/GEPP,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-innovation-creativite,Diagnostic de l'innovation & de la créativité,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-innovation-frugale-inclusive,Diagnostic de l'innovation frugale & inclusive,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-investissements-capex,Diagnostic des investissements & CAPEX,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-leadership-styles-managers,Diagnostic du leadership & styles managériaux,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-logistique-approvisionnement,Diagnostic de la chaîne logistique & approvisionnement,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-mobilité-interne-succès,Diagnostic de mobilité interne & succession,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-organisationnel-360,Diagnostic organisationnel 360°,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-performance-equipes,Diagnostic de la performance des équipes,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-politique-salariale-equite-remuneration,Diagnostic de la politique salariale & équité de rémunération,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-proprietes-intellectuelles-brevets,Diagnostic de la propriété intellectuelle & brevets,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-qualite-iso-9001,Diagnostic qualité (ISO 9001),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-rentabilite-structure-marges,Diagnostic de rentabilité & structure des marges,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-rh-capital-humain-complet,Diagnostic RH & capital humain complet,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-rse-et-developpement-durable,Diagnostic RSE & développement durable (GRI/ISO 26000),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-rse-iso-26000,Diagnostic RSE ISO 26000,Labels ESG / RSE / Durabilité,assessment,heuristique
diagnostic-skills-mapping-ia,Diagnostic des compétences (skills mapping IA),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-solvabilite-endettement,Diagnostic de solvabilité & endettement,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-sst-iso-45001,Diagnostic SST (ISO 45001),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-strategique-swot-augmente-ia,Diagnostic stratégique (SWOT augmenté IA),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-strategique,Diagnostic stratégique (SWOT augmenté IA),STRATÉGIE & MANAGEMENT,assessment,heuristique
diagnostic-structure-financiere-capital,Diagnostic de la structure financière & du capital,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-styles-apprentissage,Diagnostic des styles d'apprentissage (Kolb/Honey-Mumford),PROFILS APPRENANTS & PÉDAGOGIE,assessment,heuristique
diagnostic-supply-chain-durable,Diagnostic de la supply chain durable,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-systèmes-comptables,Diagnostic des systèmes comptables (IFRS/OHADA/SYSCOHADA),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-talents-hauts-potentiels,Diagnostic de la gestion des talents & hauts potentiels,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-transformation-agile,Diagnostic de la transformation agile,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-traçabilité-filière-déchets,Diagnostic de traçabilité filière déchets,Économie Circulaire & Déchets,assessment,heuristique
diagnostic-unite-de-gestion-de-projets,Diagnostic Unité de Gestion de Projets (UGP),Conformité Bailleurs & Projets Financés,assessment,heuristique
digital-maturity-model,Diagnostic de maturité digitale (Digital Maturity Model),TRANSFORMATION DIGITALE & IA,assessment,heuristique
dossier-de-levee-de-fonds-et-relations-investisseurs,Dossier de levée de fonds & relations investisseurs,FINANCE & GESTION,analysis,heuristique
due-diligence-financiere-et-d-investissement,Due diligence financière & d'investissement,FINANCE & GESTION,analysis,heuristique
due-diligence-juridique-m-a,Due Diligence Juridique M&A,JURIDIQUE & CONFORMITÉ,analysis,heuristique
ecommerce-strategie-vente-en-ligne,Stratégie d'e-commerce & vente en ligne,MARKETING & COMMERCIAL,analysis,heuristique
eies-etude-impact-environnemental-social,Étude d'impact environnemental & social (EIES),ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
entreprise-gouvernance-et-ethique-compliance,"Gouvernance d'entreprise, éthique & compliance",STRATÉGIE & MANAGEMENT,analysis,heuristique
entreprise-statuts,Template de statuts d'entreprise,JURIDIQUE & CONFORMITÉ,document,heuristique
entreprise-valorisation,"Valorisation d'entreprise (DCF, comparables, actif net)",FINANCE & GESTION,analysis,heuristique
entretien-annuel-structure,Entretien annuel structuré (smart evaluation),RH & CAPITAL HUMAIN,analysis,heuristique
entretien-professionnel-gepp-numerique,Entretien professionnel GEPP numérique,RH & CAPITAL HUMAIN,analysis,heuristique
etude-acceptabilite-sociale-projet,Étude de l'acceptabilité sociale d'un projet,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-capacite-institutionnelle,Étude de capacité institutionnelle,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-complementarite-inter-projets,Étude de la complémentarité inter-projets,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-de-marche-et-analyse-sectorielle,Étude de marché & analyse sectorielle,STRATÉGIE & MANAGEMENT,analysis,heuristique
etude-de-marche-quantitative-et-qualitative-ia,Étude de marché quantitative & qualitative IA,MARKETING & COMMERCIAL,analysis,heuristique
etude-faisabilite-cooperative,Étude de faisabilité d'une coopérative,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-infrastructure-publique,Étude de faisabilité d'une infrastructure publique,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-projet-agricole,Étude de faisabilité d'un projet agricole,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-projet-educatif,Étude de faisabilité d'un projet éducatif,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-projet-energetique,Étude de faisabilité d'un projet énergétique,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-projet-immobilier,Étude de faisabilité d'un projet immobilier,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-projet-numerique,Étude de faisabilité d'un projet numérique,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-projet-sante,Étude de faisabilité d'un projet de santé,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-projet-touristique,Étude de faisabilité d'un projet touristique,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-startup,Étude de faisabilité d'une start-up,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-faisabilite-technique-economique,Étude de faisabilité technique & économique,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-impact-emploi-competences,Étude d'impact sur l'emploi & les compétences,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-impact-genre-inclusion,Étude d'impact sur le genre & l'inclusion,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-marche-nouveau-projet,Étude de marché pour nouveau projet,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-prefaisabilite-investissement,Étude de préfaisabilité d'investissement,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-profil-innovateur-social,Étude du profil de l'innovateur social,PERSONNALITÉ & COMPORTEMENT PROFESSIONNEL,profile,heuristique
etude-rentabilite-financiere-projet,Étude de rentabilité financière de projet,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-risques-opportunites-projet,Étude des risques et opportunités d'un projet,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
etude-viabilite-projet-zone-rurale-africaine,Étude de la viabilité d'un projet en zone rurale africaine,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
evaluation-acquis-formation-roi-pedagogique,Évaluation des acquis de formation & ROI pédagogique,RH & CAPITAL HUMAIN,assessment,heuristique
evaluation-acquis-prealables-positionnement,Évaluation des acquis préalables & positionnement,PROFILS APPRENANTS & PÉDAGOGIE,assessment,heuristique
evaluation-annuelle-de-performance,Template d'évaluation annuelle de performance,TEMPLATES & MODÈLES PRÊTS À L'EMPLOI,document,heuristique
evaluation-candidats,Grille d'évaluation des candidats multicritères,RH & CAPITAL HUMAIN,table,heuristique
evaluation-competences-transversales,Évaluation des compétences transversales (soft skills),PROFILS APPRENANTS & PÉDAGOGIE,profile,heuristique
evaluation-en-situation-de-travail,Évaluation en situation de travail (EST),PROFILS APPRENANTS & PÉDAGOGIE,profile,heuristique
evaluation-maturite-numerique,Évaluation de la maturité numérique apprenant,PROFILS APPRENANTS & PÉDAGOGIE,profile,heuristique
evaluation-niveau-maîtrise,Évaluation du niveau de maîtrise (taxonomie Bloom révisée),PROFILS APPRENANTS & PÉDAGOGIE,assessment,heuristique
facilitation-hackathon-sprint-creatif,Facilitation d'hackathon & sprint créatif,INNOVATION & R&D,analysis,heuristique
fixation-objectifs,Fixation d'objectifs (OKR / SMART / BHAG),RH & CAPITAL HUMAIN,analysis,heuristique
formation-poste-gap-analysis,Test d'adéquation formation-poste & gap analysis,PROFILS APPRENANTS & PÉDAGOGIE,profile,heuristique
gestion-de-la-dette-et-refinancement-bancaire,Gestion de la dette & refinancement bancaire,FINANCE & GESTION,analysis,heuristique
gestion-de-projets-pmo-methode-agile-scrum-kanban-board,"Méthode Agile, Scrum & Kanban board",GESTION DE PROJETS & PMO,analysis,heuristique
gestion-de-projets-pmo-methode-prince2-pmbok,Méthode Prince2 & PMBOK adaptées,GESTION DE PROJETS & PMO,analysis,heuristique
gestion-de-projets-pmo-plan-de-communication-projet,Plan de communication projet,GESTION DE PROJETS & PMO,document,heuristique
gestion-de-projets-pmo-project-charter,Charte de projet complète,GESTION DE PROJETS & PMO,document,heuristique
gestion-des-actifs-et-politique-d-amortissement,Gestion des actifs & politique d'amortissement,FINANCE & GESTION,document,heuristique
gestion-des-appels-d-offres-et-reponses-commerciales,Gestion des appels d'offres & réponses commerciales,MARKETING & COMMERCIAL,analysis,heuristique
gestion-des-incident-lessons-learned,Plan de gestion des incidents & lessons learned,GESTION DES RISQUES,document,heuristique
gestion-des-livrables-et-jalons,Outil de gestion des livrables & jalons,GESTION DE PROJETS & PMO,analysis,heuristique
gestion-des-parties-prenantes,Plan de gestion des parties prenantes,GESTION DE PROJETS & PMO,document,heuristique
gestion-des-risques-de-projets-et-programmes,Gestion des risques de projets & programmes,GESTION DES RISQUES,analysis,heuristique
gestion-des-risques-financiers,"Gestion des risques financiers (taux, change, crédit)",FINANCE & GESTION,analysis,heuristique
gestion-des-risques-fournisseurs-supply-chain,Gestion des risques fournisseurs & supply chain,GESTION DES RISQUES,analysis,heuristique
gestion-des-risques-plan-erm-coso-ii-iso-31000,Plan de gestion des risques (ERM — COSO II / ISO 31000),GESTION DES RISQUES,document,heuristique
gestion-des-temps-et-activites,Gestion des temps & activités (GTA/SIRH),RH & CAPITAL HUMAIN,analysis,heuristique
gestion-du-changement,Gestion du changement (Kotter / ADKAR / Lewin),STRATÉGIE & MANAGEMENT,analysis,heuristique
gestion-du-stress-et-regulation-emotionnelle,Test de gestion du stress & régulation émotionnelle,PERSONNALITÉ & COMPORTEMENT PROFESSIONNEL,profile,heuristique
gestion-identites-acces,Stratégie de gestion des identités & accès (IAM),TRANSFORMATION DIGITALE & IA,analysis,heuristique
gestion-optimisation-portefeuille-projects,Gestion & optimisation du portefeuille de projets,GESTION DE PROJETS & PMO,analysis,heuristique
gestion-previsionnelle-des-emplois-et-compétences-gepp,Gestion prévisionnelle des emplois & compétences (GEPP),RH & CAPITAL HUMAIN,analysis,heuristique
gestion-temoignages-cas-clients,Outil de gestion des témoignages & cas clients,COMMUNICATION & RELATIONS EXTÉRIEURES,analysis,heuristique
gestion-zones-franches-entrepots-sous-douane,Outil de gestion des zones franches & entrepôts sous douane,SUPPLY CHAIN & ACHATS,analysis,heuristique
gouvernance-de-l-ia-ethique-responsable,Gouvernance de l'IA éthique & responsable (AI Ethics),TRANSFORMATION DIGITALE & IA,analysis,heuristique
gouvernance-et-ethique,Politique de gouvernance & charte éthique,JURIDIQUE & CONFORMITÉ,document,heuristique
grille-de-remuneration-et-classification-des-postes,Grille de rémunération & classification des postes,RH & CAPITAL HUMAIN,table,heuristique
guide-acces-marches-regionaux,"Guide d'accès aux marchés régionaux (CEDEAO, UA, ZLECAf)",OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
guide-conformite-fiscale-internationale,Guide de conformité fiscale internationale,JURIDIQUE & CONFORMITÉ,assessment,heuristique
guide-conformite-lois-donnees-personnelles-africaines,Guide de conformité aux lois données personnelles africaines,JURIDIQUE & CONFORMITÉ,assessment,heuristique
guide-des-obligations-reglementaires-sectorielles,Guide des obligations réglementaires sectorielles,JURIDIQUE & CONFORMITÉ,analysis,heuristique
ideation-management-tool,Outil de gestion des idées,INNOVATION & R&D,analysis,heuristique
indicateurs-clés-de-risque-et-alertes,Indicateurs clés de risque (KRI) & alertes,GESTION DES RISQUES,analysis,heuristique
indicateurs-de-performance-de-projet,Indicateurs de performance de projet (KPIs projets),ÉTUDES DE PROJETS & FAISABILITÉ,table,heuristique
ingenierie-financiere-et-montages-complexes,Ingénierie financière & montages complexes,FINANCE & GESTION,analysis,heuristique
iot-strategie-edge-computing,"Stratégie IoT, données temps réel & edge computing",TRANSFORMATION DIGITALE & IA,analysis,heuristique
label-certification-rse-b-corp-iso-26000,"Label & certification RSE, B-Corp, ISO 26000",RSE & DÉVELOPPEMENT DURABLE,assessment,heuristique
logistique-chaîne-analytics,Analytics de la chaîne logistique,REPORTING & ANALYTICS DASHBOARD,table,heuristique
marketing-sensoriel-et-expérientiel,Stratégie de marketing sensoriel & expérientiel,MARKETING & COMMERCIAL,analysis,heuristique
matrice-ambidextrie-strategique,Matrice d'ambidextrie stratégique (exploration/exploitation),INNOVATION & R&D,table,heuristique
matrice-bcg-mckinsey-ansoff,"Matrice BCG, McKinsey & Ansoff",STRATÉGIE & MANAGEMENT,table,heuristique
matrice-des-risques-projet,Matrice des risques projet (RACI + heat map),GESTION DE PROJETS & PMO,table,heuristique
merger-acquisition-simulation,Simulation de fusion-acquisition (M&A),FINANCE & GESTION,analysis,heuristique
methode-lean-project-management,Méthode Lean Project Management,GESTION DE PROJETS & PMO,analysis,heuristique
methode-triz-et-inventique-systematique,Méthode TRIZ & inventique systématique,INNOVATION & R&D,analysis,heuristique
modele-de-facture-internationale,Template de facture conforme & internationale,TEMPLATES & MODÈLES PRÊTS À L'EMPLOI,document,heuristique
modele-de-financement-d-infrastructure-publique,Modèle de financement d'infrastructure publique,FINANCE & GESTION,document,heuristique
modele-de-financement-de-projet,Modèle de financement de projet (Project Finance/PPP),FINANCE & GESTION,document,heuristique
modele-de-gouvernance-pour-groupes-panafricains,Modèle de gouvernance pour groupes panafricains,STRATÉGIE & MANAGEMENT,document,heuristique
modele-de-plan-de-financement,Template de plan de financement,TEMPLATES & MODÈLES PRÊTS À L'EMPLOI,document,heuristique
modele-de-statuts-d-entreprise,"Template de statuts d'entreprise (SARL, SA, SAS...)",JURIDIQUE & CONFORMITÉ,document,heuristique
modele-economique-business-case,Modèle économique & business case d'innovation,FINANCE & GESTION,document,heuristique
modele-financement-energie-renouvelable,"Modèle de financement d'énergie renouvelable (PPA, lease)",OUTILS SECTORIELS SPÉCIALISÉS,document,heuristique
modele-financier-previsionnel,Modèle financier prévisionnel (3-5-10 ans),FINANCE & GESTION,document,heuristique
modele-lettre-avertissement-sanctions,Template de lettre d'avertissement & sanctions,TEMPLATES & MODÈLES PRÊTS À L'EMPLOI,document,heuristique
modele-logique-projet-approche-resultats,Modèle logique de projet (approche par les résultats),ÉTUDES DE PROJETS & FAISABILITÉ,document,heuristique
modele-prix-de-transfert-intra-groupe,Modèle de prix de transfert intra-groupe,FINANCE & GESTION,document,heuristique
modele-proces-verbal-entretien-professionnel,Template de procès-verbal d'entretien professionnel,TEMPLATES & MODÈLES PRÊTS À L'EMPLOI,document,heuristique
modele-risque-portefeuille-bancaire,Modèle de risque de portefeuille bancaire,OUTILS SECTORIELS SPÉCIALISÉS,document,heuristique
modele-scoring-credit-et-risque-client,Modèle de scoring crédit & risque client,FINANCE & GESTION,document,heuristique
monetisation-contenus-strategie,Stratégie de monétisation des contenus,MARKETING & COMMERCIAL,analysis,heuristique
nda-accord-confidentialite,Template de NDA & accord de confidentialité,JURIDIQUE & CONFORMITÉ,document,heuristique
negociation-commerciale-avancee,Techniques de négociation commerciale avancée,MARKETING & COMMERCIAL,analysis,heuristique
note-de-cadrage-strategique,Template de note de cadrage stratégique,TEMPLATES & MODÈLES PRÊTS À L'EMPLOI,document,heuristique
okr-pilotage-agile,OKR (Objectives & Key Results) & pilotage agile,STRATÉGIE & MANAGEMENT,analysis,heuristique
open-data-strategie,Stratégie de données ouvertes (Open Data),TRANSFORMATION DIGITALE & IA,analysis,heuristique
optimisation-fiscale-legale-et-niches-fiscales,Optimisation fiscale légale & niches fiscales,FINANCE & GESTION,analysis,heuristique
outil-acv-simplifie-iso-14040-44,Outil ACV simplifié (ISO 14040/44),Économie Circulaire & Déchets,assessment,heuristique
outil-analyse-donnees-open-source-osint,Outil d'analyse des données open source (OSINT),INTELLIGENCE ÉCONOMIQUE & VEILLE,analysis,heuristique
outil-analyse-epidemiologique-surveillance-sanitaire,Outil d'analyse épidémiologique & surveillance sanitaire,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
outil-analyse-marche-prix-commodites,Outil d'analyse de marché & prix des commodités,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
outil-analyse-marches-financiers,Outil d'analyse des marchés financiers,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
outil-audit-accessibilite-numerique,Outil d'audit de l'accessibilité numérique,OUTILS SECTORIELS SPÉCIALISÉS,assessment,heuristique
outil-cartographie-opportunities-regionales,Outil de cartographie des opportunités d'affaires régionales,INTELLIGENCE ÉCONOMIQUE & VEILLE,table,heuristique
outil-cartographie-processus-bpmn,Outil de cartographie des processus (BPMN),QUALITÉ & EXCELLENCE OPÉRATIONNELLE,table,heuristique
outil-cartographie-risques-pays-geopolitiques,Outil de cartographie des risques pays & géopolitiques,INTELLIGENCE ÉCONOMIQUE & VEILLE,table,heuristique
outil-certification-bio-standards-internationaux,Outil de certification bio & standards internationaux,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
outil-communication-transformation-digitale,Outil de communication de la transformation digitale,COMMUNICATION & RELATIONS EXTÉRIEURES,analysis,heuristique
outil-compensation-carbone-et-marches-volontaires,Outil de compensation carbone & marchés volontaires,RSE & DÉVELOPPEMENT DURABLE,analysis,heuristique
outil-conformite-fournisseurs-rse-qualite-legale,"Outil de conformité fournisseurs (RSE, qualité, légal)",SUPPLY CHAIN & ACHATS,assessment,heuristique
outil-conformite-lois-donnees-personnelles-africaines,Outil de conformité lois données personnelles africaines,OUTILS SECTORIELS SPÉCIALISÉS,assessment,heuristique
outil-d-alerte-precoce,Outil d'alerte précoce,INTELLIGENCE ÉCONOMIQUE & VEILLE,analysis,heuristique
outil-d-analyse-de-la-data-client-cdp,Outil d'analyse de la data client (CDP),MARKETING & COMMERCIAL,analysis,heuristique
outil-d-analyse-de-la-donnee-et-business-intelligence-bi,Outil d'analyse de la donnée & Business Intelligence (BI),TRANSFORMATION DIGITALE & IA,analysis,heuristique
outil-d-analyse-de-scenarios-et-stress-testing,Outil d'analyse de scénarios & stress testing,GESTION DES RISQUES,analysis,heuristique
outil-d-automatisation-du-reporting,Outil d'automatisation du reporting (ETL/BI),TRANSFORMATION DIGITALE & IA,table,heuristique
outil-d-entretien-structure-score-comportemental,Outil d'entretien structuré & scoring comportemental,RH & CAPITAL HUMAIN,profile,heuristique
outil-d-evaluation-de-la-maturite-pmo,Outil d'évaluation de la maturité PMO,GESTION DE PROJETS & PMO,assessment,heuristique
outil-d-evaluation-des-compétences-numériques,Outil d'évaluation des compétences numériques (DIGCOMP),PROFILS APPRENANTS & PÉDAGOGIE,assessment,heuristique
outil-d-evaluation-et-notation-esg,Outil d'évaluation & notation ESG,RSE & DÉVELOPPEMENT DURABLE,analysis,heuristique
outil-d-intelligence-collective-et-crowdsourcing,Outil d'intelligence collective & crowdsourcing,INNOVATION & R&D,analysis,heuristique
outil-d-optimisation-de-la-chaine-d-approvisionnement,Outil d'optimisation de la chaîne d'approvisionnement,SUPPLY CHAIN & ACHATS,analysis,heuristique
outil-dappel-doffres-eprocurement,Outil d'appel d'offres & e-procurement,SUPPLY CHAIN & ACHATS,analysis,heuristique
